tconst,primaryTitle,startYear,runtimeMinutes,genres,language,averageRating,numVotes,Drama,Fantasy,Thriller,Crime,Mystery,Sci-Fi,Romance,Film-Noir,Documentary,History,Horror,Biography,War,Western,Comedy,Action,Adventure,Family,Music,Musical,Sport,Animation,Adult,News,title_lower,image
tt0027214,The Whole Town's Talking,1935,93,"Comedy,Crime,Drama",fr,7.3,2456,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the whole town's talking,https://image.tmdb.org/t/p/original/3Jv1FF6Wak5dTs5NG65YsIIeGOW.jpg
tt0028141,The Prisoner of Shark Island,1936,96,"Biography,Drama,History",fr,7.3,2014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the prisoner of shark island,https://image.tmdb.org/t/p/original/uzJIIgtMG7hsnKk34z1KQCuyrXC.jpg
tt0029030,The Hurricane,1937,110,"Action,Drama,Romance",fr,7.2,2348,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the hurricane,https://image.tmdb.org/t/p/original/t9h782IiogDZcSrlfRl8PJIQ8KB.jpg
tt0029751,Wee Willie Winkie,1937,100,"Adventure,Family",fr,7.1,1508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,wee willie winkie,https://image.tmdb.org/t/p/original/zpCZvLxpgJFzuClBdy6NcdsxCZn.jpg
tt0031252,Drums Along the Mohawk,1939,104,"Drama,History,Romance",fr,7.1,5701,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drums along the mohawk,https://image.tmdb.org/t/p/original/dfajtvJeqM79W2rdFuDUFiwq7Fe.jpg
tt0031971,Stagecoach,1939,96,"Adventure,Drama,Western",fr,7.8,44377,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stagecoach,https://image.tmdb.org/t/p/original/b4RUzWOalyPbUu66TT147b5iR0M.jpg
tt0032551,The Grapes of Wrath,1940,129,"Drama,History",fr,8.0,86163,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the grapes of wrath,https://image.tmdb.org/t/p/original/jRbRDNi9MgvhRc68PSQPMqnG24x.jpg
tt0032728,The Long Voyage Home,1940,105,"Drama,War",fr,7.0,3943,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the long voyage home,https://image.tmdb.org/t/p/original/uFYRvyOv4QZtRr50yxsGmJ87N7y.jpg
tt0038160,They Were Expendable,1945,135,"Drama,War",fr,7.2,7655,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,they were expendable,https://image.tmdb.org/t/p/original/rUx5EboC5umZWF3n4uqLgMVloB1.jpg
tt0038762,My Darling Clementine,1946,97,"Biography,Drama,Romance",fr,7.8,21780,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,my darling clementine,https://image.tmdb.org/t/p/original/38wgzzG1sW9YYTU0TneSQ5k94q2.jpg
tt0040064,3 Godfathers,1948,106,"Drama,Western",fr,7.1,8548,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3 godfathers,https://image.tmdb.org/t/p/original/dsVrYIpK2Rcgsr5QrfjBQWee5JE.jpg
tt0040369,Fort Apache,1948,128,"Action,Adventure,Western",fr,7.5,16602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fort apache,https://image.tmdb.org/t/p/original/yQPZMwZhtqxmcLxbfMRSu0E43sW.jpg
tt0041746,Pinky,1949,102,Drama,fr,7.2,2785,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pinky,https://image.tmdb.org/t/p/original/aKMz7zH7I3mwmSgB7i3Z2d9Anm.jpg
tt0041866,She Wore a Yellow Ribbon,1949,104,Western,fr,7.3,16131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,she wore a yellow ribbon,https://image.tmdb.org/t/p/original/u6vBfRXAUfoNfQ7RT2vDBP71XUe.jpg
tt0045061,The Quiet Man,1952,129,"Comedy,Drama,Romance",fr,7.7,35421,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the quiet man,https://image.tmdb.org/t/p/original/9twLidKb0ZmPPyslgpvJI8Gbjyd.jpg
tt0048312,The Long Gray Line,1955,138,"Biography,Comedy,Drama",fr,7.2,2531,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the long gray line,https://image.tmdb.org/t/p/original/dc45HvAVsg6j9y1Pq7lJKbDwhaX.jpg
tt0048380,Mister Roberts,1955,123,"Comedy,Drama,War",fr,7.7,15479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mister roberts,https://image.tmdb.org/t/p/original/tGv0Se8SZEPMSR5OnV3cunLG1kh.jpg
